Total_Error_mm,Percent_Error,Estimate_Type,Fishery
2.90,0.81,Algorithm,Finfish
63.70,17.69,Algorithm,Finfish
-142.00,-39.44,Algorithm,Finfish
34.50,9.25,Algorithm,Finfish
37.50,10.05,Algorithm,Finfish
29.00,7.77,Algorithm,Finfish
28.90,7.75,Algorithm,Finfish
72.10,19.33,Algorithm,Finfish
8.10,2.17,Algorithm,Finfish
6.20,1.66,Algorithm,Finfish
65.70,17.61,Algorithm,Finfish
-2.00,-0.54,Algorithm,Finfish
-10.80,-3.11,Algorithm,Finfish
38.30,11.04,Algorithm,Finfish
0.50,0.14,Algorithm,Finfish
79.90,23.03,Algorithm,Finfish
54.20,15.62,Algorithm,Finfish
13.10,3.78,Algorithm,Finfish
-3.00,-0.86,Algorithm,Finfish
-15.00,-4.32,Algorithm,Finfish
81.90,23.60,Algorithm,Finfish
39.20,11.30,Algorithm,Finfish
-18.60,-6.00,Algorithm,Finfish
17.70,5.71,Algorithm,Finfish
3.50,1.13,Algorithm,Finfish
33.80,10.90,Algorithm,Finfish
67.20,21.68,Algorithm,Finfish
47.90,15.45,Algorithm,Finfish
37.70,12.16,Algorithm,Finfish
96.80,31.23,Algorithm,Finfish
55.90,18.03,Algorithm,Finfish
56.70,18.29,Algorithm,Finfish
11.60,3.74,Algorithm,Finfish
77.30,19.82,Algorithm,Finfish
51.30,13.15,Algorithm,Finfish
67.30,17.26,Algorithm,Finfish
105.10,26.95,Algorithm,Finfish
79.30,20.33,Algorithm,Finfish
51.50,13.21,Algorithm,Finfish
59.70,14.81,Algorithm,Finfish
65.60,16.28,Algorithm,Finfish
-10.50,-2.61,Algorithm,Finfish
33.50,8.31,Algorithm,Finfish
68.20,16.92,Algorithm,Finfish
82.90,20.57,Algorithm,Finfish
27.10,6.72,Algorithm,Finfish
15.80,7.02,Algorithm,Finfish
35.80,15.91,Algorithm,Finfish
11.80,5.24,Algorithm,Finfish
31.60,14.04,Algorithm,Finfish
19.60,8.71,Algorithm,Finfish
23.30,10.36,Algorithm,Finfish
14.90,6.62,Algorithm,Finfish
11.20,4.77,Algorithm,Finfish
19.80,8.43,Algorithm,Finfish
14.70,6.26,Algorithm,Finfish
14.90,6.34,Algorithm,Finfish
-30.60,-13.02,Algorithm,Finfish
56.00,23.83,Algorithm,Finfish
19.60,8.34,Algorithm,Finfish
25.20,10.72,Algorithm,Finfish
37.70,22.57,Adjusted,Finfish
26.90,16.11,Adjusted,Finfish
21.50,12.87,Adjusted,Finfish
35.60,21.32,Adjusted,Finfish
19.80,11.86,Adjusted,Finfish
12.70,7.60,Adjusted,Finfish
56.40,19.32,Adjusted,Finfish
51.50,17.64,Adjusted,Finfish
49.90,17.09,Adjusted,Finfish
57.80,19.79,Adjusted,Finfish
75.50,25.86,Adjusted,Finfish
40.20,13.77,Adjusted,Finfish
78.10,26.75,Adjusted,Finfish
11.70,4.25,Adjusted,Finfish
41.80,15.20,Adjusted,Finfish
19.10,6.95,Adjusted,Finfish
48.30,17.56,Adjusted,Finfish
69.10,25.13,Adjusted,Finfish
58.70,21.35,Adjusted,Finfish
47.90,17.42,Adjusted,Finfish
4.90,1.78,Adjusted,Finfish
45.80,16.65,Adjusted,Finfish
57.60,18.29,Adjusted,Finfish
53.30,16.92,Adjusted,Finfish
20.10,6.38,Adjusted,Finfish
44.90,14.25,Adjusted,Finfish
65.20,20.70,Adjusted,Finfish
47.80,15.17,Adjusted,Finfish
37.60,11.94,Adjusted,Finfish
47.70,15.14,Adjusted,Finfish
44.80,14.22,Adjusted,Finfish
42.30,13.43,Adjusted,Finfish
13.60,6.45,Adjusted,Finfish
28.20,13.36,Adjusted,Finfish
30.50,14.45,Adjusted,Finfish
21.40,10.14,Adjusted,Finfish
8.80,4.17,Adjusted,Finfish
27.00,12.80,Adjusted,Finfish
31.10,14.74,Adjusted,Finfish
38.70,18.34,Adjusted,Finfish
43.40,14.23,Adjusted,Finfish
